Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Rego Park and Forest Hills,406,19.35 ,23.19 ,20.75 ,18.17 ,14.67 ,13.23 ,10.09 ,10.70 ,10.14 
Flushing and Whitestone,407,16.01 ,18.33 ,17.24 ,15.20 ,12.41 ,10.87 ,11.47 ,11.35 ,9.71 
Hillcrest and Fresh Meadows,408,17.12 ,19.23 ,18.35 ,16.11 ,12.60 ,11.29 ,10.43 ,10.50 ,9.49 
Kew Gardens and Woodhaven,409,17.02 ,20.56 ,18.73 ,17.11 ,13.57 ,12.49 ,10.34 ,11.04 ,10.99 
South Ozone Park and Howard Beach,410,15.92 ,19.01 ,17.54 ,16.10 ,12.60 ,11.49 ,9.32 ,10.04 ,9.57 
Bayside and Little Neck,411,16.49 ,17.31 ,17.38 ,15.08 ,11.75 ,9.94 ,10.58 ,10.09 ,8.94 
Jamaica and Hollis,412,16.79 ,18.32 ,17.83 ,15.64 ,11.90 ,10.69 ,10.67 ,10.77 ,10.68 
Queens Village,413,16.03 ,16.24 ,16.72 ,14.39 ,10.78 ,9.40 ,10.41 ,10.01 ,11.80 
Rockaway and Broad Channel,414,15.30 ,15.53 ,15.95 ,13.59 ,10.12 ,7.94 ,7.96 ,8.34 ,7.07 
St. George and Stapleton,501,12.25 ,15.43 ,13.08 ,12.34 ,10.24 ,9.17 ,8.24 ,9.00 ,10.35 
South Beach and Willowbrook,502,11.32 ,12.94 ,11.48 ,10.83 ,8.61 ,7.72 ,7.11 ,7.81 ,8.69 
Tottenville and Great Kills,503,10.69 ,9.79 ,9.60 ,8.93 ,6.65 ,6.43 ,6.50 ,7.00 ,8.49 
