Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Hillcrest and Fresh Meadows,408,18.69 ,18.82 ,18.34 ,17.63 ,17.66 ,17.15 ,15.14 ,14.13 ,14.66 
Kew Gardens and Woodhaven,409,20.57 ,20.09 ,19.47 ,18.69 ,18.76 ,18.17 ,16.06 ,15.47 ,15.81 
South Ozone Park and Howard Beach,410,19.04 ,18.60 ,18.17 ,17.21 ,17.42 ,16.55 ,14.53 ,14.28 ,14.64 
Bayside and Little Neck,411,16.82 ,17.81 ,17.64 ,16.78 ,16.94 ,16.09 ,14.46 ,13.45 ,14.17 
Jamaica and Hollis,412,19.07 ,18.89 ,18.53 ,17.63 ,17.79 ,17.71 ,15.66 ,14.28 ,15.13 
Queens Village,413,16.87 ,17.34 ,17.22 ,16.21 ,16.49 ,16.26 ,14.55 ,13.08 ,14.62 
Rockaway and Broad Channel,414,12.54 ,13.66 ,13.44 ,11.60 ,12.55 ,10.41 ,9.94 ,10.47 ,11.34 
St. George and Stapleton,501,17.64 ,17.12 ,16.91 ,16.86 ,16.40 ,16.07 ,15.05 ,13.68 ,15.32 
South Beach and Willowbrook,502,13.77 ,13.98 ,13.62 ,13.36 ,13.19 ,12.84 ,11.67 ,11.49 ,13.01 
Tottenville and Great Kills,503,11.42 ,12.53 ,11.81 ,11.44 ,11.64 ,11.01 ,10.18 ,10.49 ,11.12 
